url,crawl_status,status_code,content_type,h1,h2,page_title,meta_description,canonical_tag,robots_txt,redirect_url,meta_robots,x_robots_tag
https://www.blogger.com/post-edit.g?blogID=3928496115469874446&postID=5561094624720320226&from=pencil,found,302,text/html; charset=UTF-8,,,,,,allowed,https://accounts.google.com/ServiceLogin?service=blogger&passive=1209600&continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5561094624720320226%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5561094624720320226%26from%3Dpencil,,
https://banglapdfall.blogspot.com/2014/,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books: 2014,,http://banglapdfall.blogspot.com/2014/,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=5875723303153698814&target=facebook,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=6030499169676119988&target=facebook,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D7661699253518901725%26from%3Dpencil&followup=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D7661699253518901725%26from%3Dpencil&ifkv=AdBytiOV5zInFZDbB-CWBeh_3ZtUBE6GI4DeNGQtQUEsgVTYfJtqpkcS7MXOrZQMOrESQ7QbvCLl&passive=1209600&service=blogger&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S924426956%3A1748820587109648,ok,200,text/html; charset=utf-8,,,,,,allowed,,,
https://accounts.google.com/ServiceLogin?service=blogger&passive=1209600&continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D7661699253518901725%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D7661699253518901725%26from%3Dpencil,found,302,application/binary,,,,,,allowed,https://accounts.google.com/InteractiveLogin?continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D7661699253518901725%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D7661699253518901725%26from%3Dpencil&passive=1209600&service=blogger&ifkv=AdBytiNPuyeNgMu7AyZ278huml1xDrvzaDj9MQ71dQp_zrQj2bl4VF8_CyuuIUTcJVm1jV_mqwaj,,
https://accounts.google.com/InteractiveLogin?continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D7661699253518901725%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D7661699253518901725%26from%3Dpencil&passive=1209600&service=blogger&ifkv=AdBytiNPuyeNgMu7AyZ278huml1xDrvzaDj9MQ71dQp_zrQj2bl4VF8_CyuuIUTcJVm1jV_mqwaj,found,302,text/html; charset=UTF-8,,,,,,allowed,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D7661699253518901725%26from%3Dpencil&followup=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D7661699253518901725%26from%3Dpencil&ifkv=AdBytiOV5zInFZDbB-CWBeh_3ZtUBE6GI4DeNGQtQUEsgVTYfJtqpkcS7MXOrZQMOrESQ7QbvCLl&passive=1209600&service=blogger&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S924426956%3A1748820587109648,,
https://www.blogger.com/post-edit.g?blogID=3928496115469874446&postID=7661699253518901725&from=pencil,found,302,text/html; charset=UTF-8,,,,,,allowed,https://accounts.google.com/ServiceLogin?service=blogger&passive=1209600&continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D7661699253518901725%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D7661699253518901725%26from%3Dpencil,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=6030499169676119988&target=email,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=5875723303153698814&target=pinterest,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=6300296402844454070&target=pinterest,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=5561094624720320226&target=facebook,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=7661699253518901725&target=pinterest,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=5875723303153698814&target=blog,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=6030499169676119988&target=pinterest,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://www.mediafire.com/file/pab8s2c41sj9s5v/Anandabazar+Sharadia+1423.pdf,forbidden,403,text/html; charset=UTF-8,,,,,,allowed,,,
http://download1173.mediafire.com/l2sfoh4gp9gg/pab8s2c41sj9s5v/Anandabazar+Sharadia+1423.pdf,found,302,text/html,,,,,,allowed,https://www.mediafire.com/file/pab8s2c41sj9s5v/Anandabazar+Sharadia+1423.pdf,,
https://banglapdfall.blogspot.com/2014/05/tenida-samagra-by-narayan-gangopadhyay.html,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books: Tenida Samagra by Narayan Gangopadhyay,,http://banglapdfall.blogspot.com/2014/05/tenida-samagra-by-narayan-gangopadhyay.html,allowed,,,
https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D6300296402844454070%26from%3Dpencil&followup=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D6300296402844454070%26from%3Dpencil&ifkv=AdBytiM2otq82Nd-vjsXdBlQ-RZ_-IbMrUfhn6CAAkf9m5urInsNoWnGf629WCHYhKjsMaumAnNp_w&passive=1209600&service=blogger&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-2077618964%3A1748820587529458,ok,200,text/html; charset=utf-8,,,,,,allowed,,,
https://accounts.google.com/ServiceLogin?service=blogger&passive=1209600&continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6300296402844454070%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6300296402844454070%26from%3Dpencil,found,302,application/binary,,,,,,allowed,https://accounts.google.com/InteractiveLogin?continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6300296402844454070%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6300296402844454070%26from%3Dpencil&passive=1209600&service=blogger&ifkv=AdBytiN4Q0qHHbsnMDrUwpoQXc-duAYspjcfmgqU_jwCNcpsNCuMzlpx3ATPasTMufvfC90ZCoQAJw,,
https://accounts.google.com/InteractiveLogin?continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6300296402844454070%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6300296402844454070%26from%3Dpencil&passive=1209600&service=blogger&ifkv=AdBytiN4Q0qHHbsnMDrUwpoQXc-duAYspjcfmgqU_jwCNcpsNCuMzlpx3ATPasTMufvfC90ZCoQAJw,found,302,text/html; charset=UTF-8,,,,,,allowed,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D6300296402844454070%26from%3Dpencil&followup=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D6300296402844454070%26from%3Dpencil&ifkv=AdBytiM2otq82Nd-vjsXdBlQ-RZ_-IbMrUfhn6CAAkf9m5urInsNoWnGf629WCHYhKjsMaumAnNp_w&passive=1209600&service=blogger&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-2077618964%3A1748820587529458,,
