url,crawl_status,status_code,content_type,h1,page_title,meta_description,canonical_tag,robots_txt,redirect_url,meta_robots,x_robots_tag
http://ebooksworldbd.blogspot.com/2014/11/,ok,200,text/html; charset=UTF-8,,Free eBooks Download: November 2014,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2014/11/,allowed,,,
http://ebooksworldbd.blogspot.com/feeds/posts/default,ok,200,application/atom+xml; charset=UTF-8,,,,,allowed,,,
https://ebooksworldbd.blogspot.com/2014/03/humayun-ahmed-free-ebooks-collection.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
http://ebooksworldbd.blogspot.com/2016/07/,ok,200,text/html; charset=UTF-8,,Free eBooks Download: July 2016,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2016/07/,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/qazi-mahbub-hussain-free-ebooks-download.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
http://ebooksworldbd.blogspot.com/2015/12/download-free-ebooks-of-humayun-ahmed.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: Download Free eBooks Of Humayun Ahmed,,http://ebooksworldbd.blogspot.com/2015/12/download-free-ebooks-of-humayun-ahmed.html,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/humayun-ahmed-books-pdf-himu-series.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
https://ebooksworldbd.blogspot.com/2014/03/all-bangla-books-of-muhammad-zafar-iqbal.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/imdadul-hak-milon-bangla-pdf-download.html,"not found, canonicalised",404,text/html; charset=UTF-8,,Free eBooks Download,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com//2016/01/imdadul-hak-milon-bangla-pdf-download.html,allowed,,,
https://ebooksworldbd.blogspot.com/2014/03/download-all-masud-rana-series-ebooks.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
https://ebooksworldbd.blogspot.com/2014/03/top-horror-books-collection.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/masud-rana-series-free-ebooks-download.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
https://ebooksworldbd.blogspot.com/2014/03/download-tin-goyanda-series-books.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/masud-rana-series-free-ebooks.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/anish-das-opu-horror-books-download.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: Anish Das Opu Horror Books Download,,http://ebooksworldbd.blogspot.com/2016/01/anish-das-opu-horror-books-download.html,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/muhammed-zafar-iqbal-pdf-books-download.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
https://ebooksworldbd.blogspot.com/2014/11/russian-onubad-boi-download-bangla.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
https://ebooksworldbd.blogspot.com/2014/11/all-books-from-sheba-prokasoni-download.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
https://ebooksworldbd.blogspot.com/2014/11/all-biography-autobiography-collection.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
https://ebooksworldbd.blogspot.com/2014/11/all-kuasha-series-collection-bangla-pdf.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/harry-potter-books-collection-download.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/mario-puzo-pdf-books-free-download.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/harry-potter-and-deathly-hallows-book.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/humayun-ahmed-books-pdf-himu-series.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/a-series-of-unfortunate-events-books.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/the-cuckoos-calling-by-j-k-rowling.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/the-godfather-series-ebooks-free-download.html,service unavailable,503,text/html; charset=UTF-8,Service Unavailable,Service Unavailable,,,allowed,,,
https://ebooksworldbd.blogspot.com/feeds/6134208705719428222/comments/default,ok,200,application/atom+xml; charset=UTF-8,,,,,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/jk-rowling-books-silkworm-download.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: JK Rowling Books The Silkworm Download,,http://ebooksworldbd.blogspot.com/2016/01/jk-rowling-books-silkworm-download.html,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/a-series-of-unfortunate-events-books.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: A Series Of Unfortunate Events Books Download,,http://ebooksworldbd.blogspot.com/2016/01/a-series-of-unfortunate-events-books.html,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/the-bad-beginning-book-download.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: The Bad Beginning Book Download,,http://ebooksworldbd.blogspot.com/2016/01/the-bad-beginning-book-download.html,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/jk-rowling-books-pdf-free-download.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: JK Rowling Books PDF Free Download,,http://ebooksworldbd.blogspot.com/2016/01/jk-rowling-books-pdf-free-download.html,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/misir-ali-somogro-humayun-ahmed-pdf.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Misir Ali Somogro Humayun Ahmed PDF,,http://ebooksworldbd.blogspot.com/2016/01/misir-ali-somogro-humayun-ahmed-pdf.html,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/harry-potter-and-deathly-hallows-book.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: Harry Potter And The Deathly Hallows Book,,http://ebooksworldbd.blogspot.com/2016/01/harry-potter-and-deathly-hallows-book.html,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/jk-rowling-new-book-free-download.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: JK Rowling New Book Free Download,,http://ebooksworldbd.blogspot.com/2016/01/jk-rowling-new-book-free-download.html,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/jk-rowling-books-pdf-free-download.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: JK Rowling Books PDF Free Download,,http://ebooksworldbd.blogspot.com/2016/01/jk-rowling-books-pdf-free-download.html,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/jk-rowling-new-book-free-download.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: JK Rowling New Book Free Download,,http://ebooksworldbd.blogspot.com/2016/01/jk-rowling-new-book-free-download.html,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/himu-pdf-books-of-humayun-ahmed.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Himu PDF Books Of Humayun Ahmed,,http://ebooksworldbd.blogspot.com/2016/01/himu-pdf-books-of-humayun-ahmed.html,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/j-k-rowling-ebooks-harry-potter-download.html,"not found, canonicalised",404,text/html; charset=UTF-8,,Free eBooks Download,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com//2016/01/j-k-rowling-ebooks-harry-potter-download.html,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/lemony-snicket-a-series-of-unfortunate-events.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: Lemony Snicket A Series Of Unfortunate Events,,http://ebooksworldbd.blogspot.com/2016/01/lemony-snicket-a-series-of-unfortunate-events.html,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/himu-pdf-books-of-humayun-ahmed.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: Himu PDF Books Of Humayun Ahmed,,http://ebooksworldbd.blogspot.com/2016/01/himu-pdf-books-of-humayun-ahmed.html,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/jk-rowling-books-silkworm-download.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: JK Rowling Books The Silkworm Download,,http://ebooksworldbd.blogspot.com/2016/01/jk-rowling-books-silkworm-download.html,allowed,,,
https://ebooksworldbd.blogspot.com/2014/04/top-foreign-writers-bangla-pdf.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Top Foreign Writers Bangla Pdf,,http://ebooksworldbd.blogspot.com/2014/04/top-foreign-writers-bangla-pdf.html,allowed,,,
https://ebooksworldbd.blogspot.com/feeds/8304031540679486545/comments/default,ok,200,application/atom+xml; charset=UTF-8,,,,,allowed,,,
https://ebooksworldbd.blogspot.com/2014/09/zahir-rayhan-ahmed-safa-akhtaruzzaman.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Zahir Rayhan-Ahmed Safa-Akhtaruzzaman Elius Collection,,http://ebooksworldbd.blogspot.com/2014/09/zahir-rayhan-ahmed-safa-akhtaruzzaman.html,allowed,,,
https://ebooksworldbd.blogspot.com/feeds/6639174238498079459/comments/default,ok,200,application/atom+xml; charset=UTF-8,,,,,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/harry-potter-series-english-ebooks.html,"not found, canonicalised",404,text/html; charset=UTF-8,,Free eBooks Download,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com//2016/01/harry-potter-series-english-ebooks.html,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/lemony-snicket-a-series-of-unfortunate-events.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Lemony Snicket A Series Of Unfortunate Events,,http://ebooksworldbd.blogspot.com/2016/01/lemony-snicket-a-series-of-unfortunate-events.html,allowed,,,
